condition,repro_floor_cross_well,repro_null,repro_p,n_targets_repro,reliability_ceiling_SB,n_targets_rel,relational_S,relational_null,relational_p,n_targets_S
nostim,0.7131,-0.0002,0.001996007984031936,70,0.9254,71,0.8625,0.0982,0.001996007984031936,69
stim,0.7538,-0.0004,0.001996007984031936,70,0.933,71,0.9263,0.0374,0.001996007984031936,69
