split,causal,noncausal,c2,committed_causal,committed_noncausal,committed_c2,within_tol
condition,0.3388,0.2324,0.1063,0.3436,0.2255,0.118,True
gene,0.3651,0.209,0.1561,0.3675,0.2056,0.1619,True
