split,n,c2_gap_median,c2_gap_reliable_perts,c2_gap_unreliable_perts,corr_gap_vs_reliability,causal_minus_ridge_median
condition,2184,0.026115710695865157,0.015122358530409913,0.03363068337597922,0.10071347515584056,-0.06881115448453151
gene,315,0.04107063005956063,0.14122794095671515,0.021551740086937443,0.29207019305874515,0.3704928364577143
