object,specific,raw_contrast,perm_null,pass
S_similarity,0.00806403739299809,0.0071994119853883475,2.1591257446280294e-05,False
L_loadings_top3,0.11114491505800785,,0.018807125806880178,False
R_pergene_rank,0.02544388585289559,0.023987059826991033,,False
S_top200_higheffect,0.036771942778667584,,0.0011034847092798125,False
pointwise_floor,0.04866134775301178,,,False
