split,n_perts,n_donors,cross_donor_specific_r,null_mean,null_p95,perm_p
condition,2269,4,0.03166847043929336,0.00046345827023245206,0.0017871819077346026,0.0
gene,318,4,0.049191088272739276,-0.0005051975937374073,0.0029424182801789053,0.0
