part,cond,xdonor_s,xdonor_s_norm,xdonor_s_pc1,xdonor_mag,xdonor_randaxis_null,sd_s_across_perts,split,raw_spearman,partial_spearman,partial_2d,perm_p,n,sign_consistent,n_donors
G-TC.0,Rest,0.07858084221940535,0.08215848867651365,0.06074154439359807,0.2147592177580974,0.02806377195200905,1.027615772796586,,,,,,,,
G-TC.0,Stim8hr,0.0724956027440724,0.07010779420246828,0.0621923186827845,0.22862918185000625,0.03369776834568182,0.5989716034805922,,,,,,,,
G-TC.0,Stim48hr,0.06829249778519642,0.06428472152593788,0.0653210148040662,0.2483787221399448,0.029243082290933902,0.8393457681015492,,,,,,,,
G-TC.1,,,,,,,,condition,0.0029522785158983445,0.0066994559174562394,-0.028097804228124815,0.754,2179.0,2.0,4.0
G-TC.1,,,,,,,,gene,0.051269854067564305,0.034011931128138675,-0.00608233157601489,0.549,315.0,3.0,4.0
